TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
93,0,0,0,0,0,0,0,7808,0,1352,3240,848
94,0,0,0,0,6016,9224,0,7808,0,0,0,848
95,0,0,0,0,6016,9224,0,0,0,1352,3240,0
96,0,0,0,0,6016,0,0,0,0,1352,3240,848
97,0,0,0,0,6016,9224,0,0,0,1352,0,848
98,0,0,0,0,6016,0,0,0,0,1352,3240,848
99,0,0,0,0,0,0,0,0,0,1352,3240,848
100,0,0,0,0,0,0,0,0,0,1352,3240,848
101,0,15112,17424,17424,9224,0,0,0,0,0,0,0
102,0,0,0,0,0,11016,4224,11016,3240,0,0,0
103,13064,0,0,0,0,0,0,0,0,848,3240,2152
104,0,15112,17424,17424,9224,0,0,0,0,0,0,0
105,0,0,0,0,0,11016,4224,11016,3240,0,0,0
106,13064,0,0,0,0,0,0,0,0,848,3240,2152
107,0,15112,17424,17424,9224,0,0,0,0,0,0,0
108,0,0,0,0,0,11016,4224,11016,3240,0,0,0
109,13064,0,0,0,0,0,0,0,0,848,3240,2152
110,0,15112,0,17424,9224,11016,0,0,0,0,0,0
111,0,0,0,0,0,11016,4224,11016,3240,0,0,0
112,13064,0,0,0,0,0,0,0,0,848,3240,2152
113,0,15112,0,0,9224,11016,4224,0,0,0,0,0
114,0,0,0,0,0,0,4224,11016,3240,848,0,0
115,0,0,0,0,9224,0,0,0,0,848,3240,2152
116,0,0,0,0,9224,0,4224,11016,3240,0,0,0
117,0,0,0,0,0,0,4224,0,3240,848,3240,0
118,0,0,0,0,9224,0,0,0,0,848,3240,2152
119,0,0,0,0,0,0,4224,0,3240,848,3240,0
120,0,0,0,0,0,0,4224,0,3240,848,3240,0
121,15112,0,0,0,0,0,0,0,0,1352,3240,2152
122,0,13064,15112,17424,7808,0,0,0,0,0,0,0
123,0,0,0,0,0,4736,9224,11016,2152,0,0,0
124,15112,0,0,0,0,0,0,0,0,1352,3240,2152
125,0,13064,15112,17424,7808,0,0,0,0,0,0,0
126,0,0,0,0,0,4736,9224,11016,2152,0,0,0
127,15112,0,0,0,0,0,0,0,0,1352,3240,2152
128,0,13064,15112,17424,7808,0,0,0,0,0,0,0
129,0,0,0,0,0,4736,9224,11016,2152,0,0,0
130,15112,0,0,0,0,0,0,0,0,1352,3240,2152
131,0,13064,15112,0,7808,4736,0,0,0,0,0,0
132,0,0,0,0,0,4736,9224,11016,2152,0,0,0
133,0,13064,0,0,0,0,0,0,0,1352,3240,2152
134,0,0,0,0,7808,4736,9224,11016,0,0,0,0
135,0,0,0,0,0,4736,9224,11016,2152,0,0,0
136,0,0,0,0,7808,0,0,0,0,1352,3240,2152
137,0,0,0,0,7808,4736,9224,0,2152,0,0,0
138,0,0,0,0,0,4736,0,0,2152,1352,3240,0
139,0,0,0,0,7808,0,0,0,0,1352,3240,2152
140,0,0,0,0,7808,0,0,0,2152,1352,3240,0
141,0,0,0,0,0,7808,7808,4224,1352,0,0,0
142,17424,17424,13064,0,0,0,0,0,0,848,0,0
143,0,17424,13064,16392,4736,0,0,0,0,0,0,0
144,0,0,0,0,0,7808,7808,4224,1352,0,0,0
145,17424,17424,13064,0,0,0,0,0,0,848,0,0
146,0,0,13064,16392,4736,7808,0,0,0,0,0,0
147,0,0,0,0,0,7808,7808,4224,1352,0,0,0
148,17424,0,0,16392,4736,0,0,0,0,848,0,0
149,0,0,0,16392,4736,7808,7808,0,0,0,0,0
150,0,0,0,0,0,7808,7808,4224,1352,0,0,0
151,0,0,0,0,4736,7808,7808,0,0,848,0,0
152,0,0,0,0,4736,7808,7808,4224,0,0,0,0
153,0,0,0,0,0,0,7808,4224,1352,848,0,0
154,0,0,0,0,4736,0,7808,4224,0,848,0,0
155,0,0,0,0,4736,0,0,4224,1352,848,0,0
156,0,0,0,0,4736,0,0,4224,1352,848,0,0
157,0,0,0,0,4736,0,0,4224,1352,848,0,0
158,0,0,0,0,4736,0,0,4224,1352,848,0,0
159,0,0,0,0,4736,0,0,4224,1352,848,0,0
160,0,0,0,0,4736,0,0,4224,1352,848,0,0
161,0,16392,18960,13064,4736,0,0,0,0,0,0,0
162,0,0,0,0,0,11016,6016,7808,0,2152,0,0
163,16392,0,0,0,0,0,0,0,0,2152,1352,3240
164,0,16392,18960,13064,4736,0,0,0,0,0,0,0
165,0,0,0,0,0,11016,6016,7808,0,2152,0,0
166,16392,0,0,0,0,0,0,0,0,2152,1352,3240
167,0,16392,18960,13064,4736,0,0,0,0,0,0,0
168,0,0,0,0,0,11016,6016,7808,0,2152,0,0
169,16392,0,0,0,0,0,0,0,0,2152,1352,3240
170,0,16392,0,13064,4736,11016,0,0,0,0,0,0
171,0,0,0,0,0,11016,6016,7808,0,2152,0,0
172,16392,0,0,0,0,0,0,0,0,2152,1352,3240
173,0,0,0,0,4736,11016,6016,7808,0,0,0,0
174,0,0,0,0,0,0,6016,7808,0,2152,1352,0
175,0,0,0,0,4736,0,0,0,0,2152,1352,3240
176,0,0,0,0,4736,0,6016,7808,0,2152,0,0
177,0,0,0,0,0,0,6016,7808,0,2152,1352,0
178,0,0,0,0,4736,0,0,0,0,2152,1352,3240
179,0,0,0,0,4736,0,0,7808,0,2152,1352,0
180,0,0,0,0,4736,0,0,0,0,2152,1352,3240
181,13064,17424,13064,0,0,0,0,0,0,0,0,1352
