TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,13064,18960,17424,0,0,0,0,0,0,0,0
2,0,0,0,0,6016,7808,9224,7808,0,0,0,0
3,0,0,0,0,0,0,0,0,2152,2152,1352,848
4,13064,13064,18960,17424,0,0,0,0,0,0,0,0
5,0,0,0,0,6016,7808,9224,7808,0,0,0,0
6,0,0,0,0,0,0,0,0,2152,2152,1352,848
7,13064,13064,18960,17424,0,0,0,0,0,0,0,0
8,0,0,0,0,6016,7808,9224,7808,0,0,0,0
9,0,0,0,0,0,0,0,0,2152,2152,1352,848
10,13064,13064,0,17424,6016,0,0,0,0,0,0,0
11,0,0,0,0,6016,7808,9224,7808,0,0,0,0
12,0,0,0,0,0,0,0,0,2152,2152,1352,848
13,13064,0,0,0,6016,7808,9224,0,0,0,0,0
14,0,0,0,0,6016,7808,9224,7808,0,0,0,0
15,0,0,0,0,0,0,0,0,2152,2152,1352,848
16,0,0,0,0,6016,7808,9224,7808,0,0,0,0
17,0,0,0,0,6016,0,0,7808,2152,2152,0,0
18,0,0,0,0,0,0,0,0,2152,2152,1352,848
19,0,0,0,0,6016,0,0,7808,2152,2152,0,0
20,0,0,0,0,0,0,0,0,2152,2152,1352,848
21,17424,17424,0,0,0,0,0,0,3240,0,2152,0
22,17424,17424,18960,17424,0,0,0,0,0,0,0,0
23,0,0,0,0,11016,6016,4736,6016,0,0,0,0
24,17424,17424,0,0,0,0,0,0,3240,0,2152,0
25,17424,17424,18960,17424,0,0,0,0,0,0,0,0
26,0,0,0,0,11016,6016,4736,6016,0,0,0,0
27,0,0,18960,17424,0,0,0,0,3240,0,2152,0
28,0,0,0,0,11016,6016,4736,6016,0,0,0,0
29,0,0,0,0,11016,6016,4736,6016,0,0,0,0
30,0,0,0,0,11016,6016,0,0,3240,0,2152,0
31,0,0,0,0,0,6016,4736,6016,3240,0,0,0
32,0,0,0,0,0,6016,4736,6016,3240,0,0,0
33,0,0,0,0,0,6016,4736,0,3240,0,2152,0
34,0,0,0,0,0,6016,4736,6016,3240,0,0,0
35,0,0,0,0,0,0,4736,6016,3240,0,2152,0
36,0,0,0,0,0,0,4736,6016,3240,0,2152,0
37,0,0,0,0,0,0,4736,6016,3240,0,2152,0
38,0,0,0,0,0,0,4736,0,3240,0,2152,0
39,0,0,0,0,0,0,4736,0,3240,0,2152,0
40,0,0,0,0,0,0,0,0,3240,0,2152,0
41,18960,18960,16392,16392,0,0,0,0,0,0,0,0
42,0,0,0,0,4736,4736,11016,7808,0,0,0,0
43,0,0,0,0,0,0,0,0,1352,2152,2152,3240
44,18960,18960,16392,16392,0,0,0,0,0,0,0,0
45,0,0,0,0,4736,4736,11016,7808,0,0,0,0
46,0,0,0,0,0,0,0,0,1352,2152,2152,3240
47,18960,18960,16392,16392,0,0,0,0,0,0,0,0
48,0,0,0,0,4736,4736,11016,7808,0,0,0,0
49,0,0,0,0,0,0,0,0,1352,2152,2152,3240
50,18960,18960,16392,16392,0,0,0,0,0,0,0,0
51,0,0,0,0,4736,4736,11016,7808,0,0,0,0
52,0,0,0,0,0,0,0,0,1352,2152,2152,3240
53,0,0,0,16392,4736,4736,11016,0,0,0,0,0
54,0,0,0,0,4736,4736,11016,7808,0,0,0,0
55,0,0,0,0,0,0,0,0,1352,2152,2152,3240
56,0,0,0,0,4736,4736,0,7808,1352,0,0,0
57,0,0,0,0,4736,4736,0,0,1352,2152,0,0
58,0,0,0,0,0,0,0,0,1352,2152,2152,3240
59,0,0,0,0,4736,4736,0,0,1352,2152,0,0
60,0,0,0,0,4736,4736,0,0,1352,2152,0,0
61,18960,0,0,0,0,0,0,0,848,848,3240,0
62,18960,15112,16392,16392,0,0,0,0,0,0,0,0
63,0,0,0,0,4224,6016,4736,4224,0,0,0,0
64,18960,0,0,0,0,0,0,0,848,848,3240,0
65,0,15112,16392,16392,4224,0,0,0,0,0,0,0
66,0,0,0,0,4224,6016,4736,4224,0,0,0,0
67,0,15112,0,0,0,0,0,0,848,848,3240,0
68,0,15112,16392,16392,4224,0,0,0,0,0,0,0
69,0,0,0,0,4224,6016,4736,4224,0,0,0,0
70,0,0,16392,0,0,0,0,0,848,848,3240,0
71,0,0,0,0,4224,6016,4736,4224,0,0,0,0
72,0,0,0,0,4224,6016,4736,4224,0,0,0,0
73,0,0,0,0,4224,0,0,0,848,848,3240,0
74,0,0,0,0,4224,6016,4736,4224,0,0,0,0
75,0,0,0,0,4224,6016,4736,4224,0,0,0,0
76,0,0,0,0,4224,0,0,0,848,848,3240,0
77,0,0,0,0,0,6016,4736,4224,848,0,0,0
78,0,0,0,0,0,6016,4736,4224,848,0,0,0
79,0,0,0,0,0,6016,0,0,848,848,3240,0
80,0,0,0,0,0,6016,4736,4224,848,0,0,0
81,0,0,0,0,4224,7808,4224,4736,0,0,0,0
82,18960,0,0,0,0,0,0,0,1352,2152,848,0
83,18960,16392,18960,15112,0,0,0,0,0,0,0,0
84,0,0,0,0,4224,7808,4224,4736,0,0,0,0
85,18960,0,0,0,0,0,0,0,1352,2152,848,0
86,18960,16392,18960,15112,0,0,0,0,0,0,0,0
87,0,0,0,0,4224,7808,4224,4736,0,0,0,0
88,0,16392,0,0,0,0,0,0,1352,2152,848,0
89,0,16392,18960,15112,4224,0,0,0,0,0,0,0
90,0,0,0,0,4224,7808,4224,4736,0,0,0,0
91,0,16392,0,0,0,0,0,0,1352,2152,848,0
92,0,0,18960,15112,4224,7808,0,0,0,0,0,0
93,0,0,0,0,4224,7808,4224,4736,0,0,0,0
94,0,0,0,0,4224,0,0,0,1352,2152,848,0
95,0,0,0,0,4224,7808,4224,4736,0,0,0,0
96,0,0,0,0,4224,7808,4224,4736,0,0,0,0
97,0,0,0,0,4224,0,0,0,1352,2152,848,0
98,0,0,0,0,4224,0,4224,4736,1352,0,0,0
99,0,0,0,0,0,0,4224,4736,1352,2152,0,0
100,0,0,0,0,0,0,4224,0,1352,2152,848,0
101,13064,13064,16392,16392,0,0,0,0,0,0,0,0
102,0,0,0,0,11016,7808,11016,9224,0,0,0,0
103,13064,0,0,0,0,0,0,0,1352,3240,0,1352
104,13064,13064,16392,16392,0,0,0,0,0,0,0,0
105,0,0,0,0,11016,7808,11016,9224,0,0,0,0
106,13064,0,0,0,0,0,0,0,1352,3240,0,1352
107,13064,13064,16392,16392,0,0,0,0,0,0,0,0
108,0,0,0,0,11016,7808,11016,9224,0,0,0,0
109,0,13064,0,0,0,0,0,0,1352,3240,0,1352
110,0,0,16392,16392,11016,7808,0,0,0,0,0,0
111,0,0,0,0,11016,7808,11016,9224,0,0,0,0
112,0,0,0,0,0,7808,0,0,1352,3240,0,1352
113,0,0,0,0,0,7808,11016,9224,1352,0,0,0
114,0,0,0,0,0,0,11016,9224,1352,3240,0,0
115,0,0,0,0,0,0,0,9224,1352,3240,0,1352
116,0,0,0,0,0,0,0,9224,1352,3240,0,1352
117,0,0,0,0,0,0,0,9224,1352,3240,0,1352
118,0,0,0,0,0,0,0,9224,1352,3240,0,1352
119,0,0,0,0,0,0,0,0,1352,3240,0,1352
120,0,0,0,0,0,0,0,0,1352,3240,0,1352
121,0,0,0,0,0,0,11016,7808,2152,3240,0,0
122,18960,13064,0,0,0,0,0,0,0,0,1352,2152
123,0,0,16392,18960,7808,4224,0,0,0,0,0,0
124,0,0,0,0,0,0,11016,7808,2152,3240,0,0
125,18960,13064,0,0,0,0,0,0,0,0,1352,2152
126,0,0,16392,18960,7808,4224,0,0,0,0,0,0
127,0,0,0,0,0,0,11016,7808,2152,3240,0,0
128,18960,13064,0,0,0,0,0,0,0,0,1352,2152
129,0,0,16392,18960,7808,4224,0,0,0,0,0,0
130,0,0,0,0,0,0,11016,7808,2152,3240,0,0
131,18960,13064,0,0,0,0,0,0,0,0,1352,2152
132,0,0,16392,0,7808,4224,11016,0,0,0,0,0
133,0,0,0,0,0,0,0,7808,2152,3240,1352,0
134,0,13064,0,0,7808,0,0,0,0,0,1352,2152
135,0,0,0,0,7808,4224,0,7808,2152,0,0,0
136,0,0,0,0,0,0,0,7808,2152,3240,1352,0
137,0,0,0,0,7808,4224,0,0,0,0,1352,2152
138,0,0,0,0,0,4224,0,0,2152,3240,1352,0
139,0,0,0,0,0,0,0,0,2152,3240,1352,2152
140,0,0,0,0,0,4224,0,0,2152,0,1352,2152
141,0,0,16392,15112,4224,7808,0,0,0,0,0,0
142,17424,0,0,0,0,0,4736,4736,0,0,0,3240
143,17424,15112,16392,0,0,0,0,0,0,0,0,3240
144,0,0,16392,15112,4224,7808,0,0,0,0,0,0
145,17424,0,0,0,0,0,4736,4736,0,0,0,3240
146,0,15112,0,15112,4224,0,0,0,0,0,0,3240
147,0,0,0,15112,4224,7808,4736,0,0,0,0,0
148,0,15112,0,0,0,0,4736,4736,0,0,0,3240
149,0,15112,0,0,4224,7808,0,0,0,0,0,3240
150,0,0,0,0,4224,7808,4736,4736,0,0,0,0
151,0,0,0,0,4224,0,4736,4736,0,0,0,3240
152,0,0,0,0,4224,7808,4736,0,0,0,0,3240
153,0,0,0,0,4224,7808,4736,4736,0,0,0,0
