TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
105,0,0,0,0,11016,0,0,6016,4736,0,6016,0
106,0,0,0,11016,0,7808,11016,0,0,0,0,7808
107,0,7808,9224,0,11016,0,0,0,0,4736,0,0
108,6016,0,0,11016,0,0,11016,6016,0,0,0,0
109,0,0,0,0,0,7808,0,0,4736,0,6016,7808
110,0,7808,9224,0,11016,0,11016,0,0,0,0,0
111,9224,0,0,0,0,0,0,11016,9224,9224,0,0
112,0,9224,0,0,0,0,0,11016,9224,9224,0,0
113,9224,0,0,7808,11016,7808,0,0,0,0,0,0
114,0,9224,0,0,0,0,0,11016,0,9224,0,6016
115,9224,0,0,0,11016,0,0,0,9224,0,4736,0
116,0,0,6016,0,0,7808,7808,11016,0,0,0,0
117,0,9224,0,7808,11016,0,0,0,0,9224,0,0
118,9224,0,0,0,0,0,0,11016,9224,0,0,6016
119,0,0,0,0,11016,7808,7808,0,0,0,4736,0
120,0,9224,6016,7808,0,0,0,0,0,9224,0,0
121,0,0,0,11016,0,0,0,0,9224,0,11016,9224
122,0,0,0,0,0,0,9224,11016,0,0,11016,9224
123,0,0,0,11016,9224,0,0,0,9224,9224,0,0
124,6016,0,0,0,0,0,9224,11016,0,0,11016,0
125,0,0,4736,11016,0,0,0,0,0,9224,0,9224
126,0,0,0,0,9224,0,0,11016,9224,0,11016,0
127,0,6016,0,11016,0,4736,9224,0,0,0,0,0
128,6016,0,0,0,0,0,0,11016,0,9224,0,9224
129,0,0,0,0,9224,0,9224,0,9224,0,11016,0
130,0,6016,4736,11016,0,0,0,0,0,0,0,9224
131,0,0,11016,0,9224,6016,11016,0,0,0,0,0
132,6016,0,11016,0,0,0,0,0,0,7808,9224,0
133,0,0,0,0,0,6016,11016,0,7808,0,0,9224
134,0,0,11016,0,9224,0,0,0,0,7808,9224,0
135,6016,0,0,7808,0,0,11016,0,0,0,0,9224
136,0,4736,11016,0,9224,0,0,0,7808,0,0,0
137,0,0,0,0,0,6016,11016,0,0,7808,9224,0
138,0,0,11016,7808,0,0,0,4736,0,0,0,9224
139,6016,0,0,0,9224,0,11016,0,7808,0,0,0
140,0,4736,11016,0,0,0,0,0,0,7808,9224,0
141,11016,9224,0,0,0,0,0,0,9224,0,0,7808
142,11016,9224,0,0,0,4736,0,4736,0,0,0,0
143,11016,0,0,6016,0,0,0,0,9224,0,7808,0
144,0,9224,0,0,0,0,0,0,9224,6016,0,7808
145,11016,0,0,0,0,4736,0,4736,0,0,7808,0
146,0,9224,0,6016,0,0,6016,0,0,0,0,7808
147,11016,0,6016,0,4736,0,0,0,9224,0,0,0
148,0,9224,0,0,0,0,0,0,0,6016,7808,7808
149,11016,0,0,6016,0,4736,0,4736,0,0,0,0
150,0,9224,6016,0,0,0,6016,0,9224,0,0,0
151,0,0,0,7808,11016,0,7808,6016,0,0,0,0
152,0,11016,0,0,11016,4736,0,0,0,0,7808,0
153,0,0,0,7808,11016,0,7808,0,0,4736,0,0
154,0,11016,0,0,0,0,0,0,7808,0,7808,6016
155,0,0,4736,7808,11016,0,0,6016,0,0,0,0
156,0,11016,0,0,0,4736,7808,0,7808,0,0,0
157,6016,0,0,0,11016,0,0,0,0,4736,7808,0
158,0,11016,0,7808,0,0,0,6016,0,0,0,6016
159,0,0,4736,0,11016,0,7808,0,7808,0,0,0
160,6016,11016,0,0,0,4736,0,0,0,0,7808,0
161,0,0,11016,7808,0,0,9224,11016,0,0,0,0
162,0,0,11016,0,0,6016,0,11016,0,4736,0,0
163,0,11016,0,0,9224,0,9224,0,0,0,7808,0
164,6016,0,11016,0,0,0,0,11016,0,0,0,4736
165,0,11016,0,7808,0,6016,0,0,6016,0,0,0
166,0,0,0,0,9224,0,9224,0,0,4736,7808,0
167,6016,11016,11016,0,0,0,0,11016,0,0,0,0
168,0,0,0,7808,9224,0,0,0,6016,0,0,4736
169,0,0,11016,0,0,6016,9224,11016,0,0,0,0
170,0,11016,0,7808,0,0,0,0,0,4736,7808,0
171,0,0,0,0,9224,11016,0,0,7808,9224,0,0
172,0,0,0,0,0,11016,0,0,0,9224,7808,4736
173,4736,0,0,0,9224,0,0,9224,7808,0,0,0
174,0,0,0,0,0,11016,6016,0,0,9224,7808,0
175,0,0,0,0,9224,11016,0,9224,7808,0,0,0
176,4736,0,0,0,0,0,0,0,0,9224,7808,4736
177,0,0,0,4736,0,11016,6016,9224,0,0,0,0
178,0,0,4736,0,9224,0,0,0,7808,9224,0,0
179,0,4736,0,0,0,11016,0,9224,0,0,7808,0
180,4736,0,0,0,9224,0,6016,0,0,0,0,4736
181,9224,0,11016,9224,0,0,11016,0,0,0,0,0
182,0,7808,11016,9224,0,0,0,0,0,11016,0,0
183,9224,0,0,0,0,0,11016,0,0,0,7808,6016
184,0,7808,11016,9224,0,0,0,0,0,11016,0,0
